Pair ID	Sentence 1	Sentence 2	FWD Ent	FWD Ent Agr	BCW Ent	BCW Ent Agr	Cont	Cont Agr	FWD Spec	FWD Spec Agr	BCW Spec	BCW Spec Agr	Sim	Sim Agr	PP	PP Agr
30	Going to school isolates children.	School years are the period when kids learn how to socialize.	0	1	0	1	1	0.8	0	0.9	1	0.9	0.73	0.75	0	1
32	Reading the Bible requires studying Latin.	The Bible is written in Latin.	1	0.9	1	0.9	0	1	1	0.9	0	0.8	3.6	0.92	0	0.6
34	Only in small cities, a high educational degree is important for finding a good job.	Getting a high educational degree has no influence on finding a good job in big cities.	1	0.6	0	0.6	0	0.6	0	0.8	0	0.9	3.4	1.28	1	0.6
36	Technology and digitalization have become an indispensable part of our modern culture.	Technology is useful in teaching and educating.	0	0.7	0	0.7	0	1	1	0.8	0	0.9	2.9	1.37	0	0.7
38	Technology is useful in teaching and educating.	Technology is very often part of today's education.	1	0.6	0	0.5	0	1	0	0.5	0	0.9	4.2	0.6	1	1
40	Finding a good job is easier for people speaking more than one language.	The more languages you speak fluently, the easier it becomes to find a well-paid and exciting job.	1	0.8	1	1	0	1	0	1	1	0.8	4.3	0.46	1	1
42	People who don't drink are safer drivers.	Drunk drivers are dangerous while self-driving cars are safe	0	0.8	1	0.6	0	0.9	0	1	1	0.9	3.2	0.6	0	0.6
44	Kids can be left at home to learn about social interaction.	Children who go to school are less socialized.	0	0.7	0	0.8	0	0.9	0	0.5	0	0.9	2.6	1.2	0	0.8
46	A car driven by a human is safer than a self-driving car.	Humans can drink and drive	0	0.9	0	0.9	0	0.9	1	0.7	0	0.9	1	0.63	0	1
48	Life is enhanced by learning a second language.	Being able to communicate in more than one language has advantages.	1	0.9	1	0.7	0	0.9	0	0.8	1	0.6	4	1.18	1	1
50	If people cannot afford to travel or are not interested in visiting new countries, they might never be able to speak the language with native speakers.	Learning a second language won't get you anywhere in life.	0	0.9	0	1	0	0.8	1	0.8	0	1	1.4	1.2	0	1
52	Alexa makes access to information slower.	With Siri, Alexa and Cortana searching for data is impossible.	0	0.9	0	0.6	0	0.8	0	0.9	1	0.9	2.67	1.15	0	0.8
54	Asocial behaviour is strengthened by new technologies.	Without human interaction an asocial behavior is formed, usage of new technologies is one leading example to such behavior	0	0.5	1	0.8	0	1	0	1	1	0.9	4.2	0.87	1	0.9
56	Human-computer communication is getting better.	People can connect easily with the help of machines	0	0.5	0	0.8	0	1	1	0.6	0	0.7	2.7	1.19	0	0.8
58	Many countries provide good education to everyone.	Education is a theoretical concept, which is never implemented in reality.	0	1	0	1	0	0.8	0	1	1	0.8	1.3	1.35	0	1
60	Machines can't communicate.	With Cortana, Alexa or Siri computers learn to communicate with.	0	1	0	1	1	1	0	0.9	1	0.8	1	1.48	0	1
62	School makes students antisocial	School usually prevents children from socializing properly.	1	0.9	1	0.9	0	1	0	0.9	1	0.7	3.9	1.37	1	1
64	A second language is important in a resume.	Languages are important for work.	1	0.8	1	0.6	0	1	1	1	0	0.9	3.7	0.78	1	1
66	Adding technology has improved modern education.	Technology is a very important element of educational programs today.	1	0.6	1	0.7	0	1	0	1	1	0.7	3.8	0.98	1	0.9
68	Computers can interact with humans.	Machines communicate.	1	0.8	1	0.6	0	1	1	0.9	0	1	2.5	1.02	1	0.6
70	Cortana, Alexa and Siri are famous and known by everybody, because they are names of famous people.	Cortana does not understand simple tasks.	0	1	0	1	0	1	1	0.8	0	0.9	0.6	0.66	0	1
72	It is harder for girls to get good school education	Boys get better education than girls.	1	0.7	0	0.5	0	1	0	0.7	0	0.8	2.9	1.04	1	0.7
74	Everyday life is hard to achieve even with technology	New apps and modern technology cannot provide you with the information you need.	0	1	0	0.9	0	1	0	1	1	0.7	2.2	1.6	0	0.7
76	Reading newspapers is important to find a new good job	Not knowing how to use a smartphone makes you less attractive for employers.	0	1	0	1	0	1	0	1	1	0.7	0.8	1.25	0	1
78	Current education does not need digitalization.	Modern education consists of many parts.	0	0.9	0	1	0	1	1	0.6	0	1	0.8	0.87	0	1
80	Human drivers are less reliable than self-driving cars.	Autonomous cars improve safety due to lack of alcohol dependence.	0	0.9	1	0.7	0	1	0	0.9	1	0.7	2.8	1.47	0	0.7
82	Christian clergymen gain some knowledge of Latin.	The Bible was originally written in Latin.	0	0.9	1	0.6	0	1	1	0.7	0	0.6	1.9	0.83	0	0.9
84	You will receive no benefit if you learn a second language.	Knowing another language can bring you into very dangerous and unpleasant situations.	0	0.7	0	0.6	0	1	0	1	1	0.7	3.1	0.94	0	0.6
86	In contrast to boys, girls seem to have great difficulties in getting high educational degrees.	Boys are more likely to get a good school education than girls.	1	0.9	1	0.8	0	1	1	0.7	0	1	3.2	1.4	1	0.7
88	Machines can play chess.	Computers can play games.	1	0.9	1	0.7	0	1	0	0.7	0	0.7	4.5	0.81	1	0.7
90	It is possible to speak more than one language.	Someone with the knowledge of a second language may benefit more than someone with no such knowledge in life.	0	0.7	0	0.5	0	1	0	1	1	0.8	1.6	0.92	0	0.9
92	Modern assistants like Alexa or Siri make it harder to access information.	Alexa makes access to information slower.	1	0.6	1	0.7	0	1	1	0.9	0	1	3.6	0.8	0	0.5
94	Cortana, Alexa and Siri are modern assistants.	Education nowadays relays on modern technology.	0	1	0	0.8	0	1	1	0.9	0	0.9	0.8	0.75	0	1
96	Lack of face to face social interactions may cause asocial behavior.	If people used more technological innovations, they would soon be better people.	0	1	0	1	0	0.7	0	0.8	0	0.5	0.7	0.9	0	1
98	Better job opportunities do not depend on digital literacy.	Good jobs can be found without the use of modern technology.	1	0.9	1	0.7	0	1	0	0.8	0	0.5	3.5	1.36	1	1
100	Speaking different languages does not qualify for jobs.	Unemployment rates among multilinguals are lower than those able to speak only a single language.	0	1	0	1	1	0.7	0	1	1	0.9	2.1	1.3	0	0.9
102	Computer systems are extremely good at playing sport games.	Chess and Go are strategic games.	0	1	0	1	0	1	0	0.6	0	0.5	0.3	0.64	0	1
104	Communication between people and machines can work well.	Evaluations of some of the currently existing chatbots show that they are doing well in leading conversations with people.	0	0.5	1	0.8	0	1	0	0.9	1	0.9	3	1.67	1	0.7
106	Quicker Access to information makes life worse.	Modern assistants such as Cortana, Alexa, or Siri speed up accessing to information.	0	0.9	0	1	0	0.9	0	1	1	0.9	1.2	0.6	0	1
108	It is harder to find a good job in big cities.	Having a high educational degree is influential in finding a good job in a big city.	0	0.9	0	0.8	0	0.9	0	1	1	1	2	1.41	0	0.8
110	A lower educational degree will make it easier to find a job.	We can now access more information promptly by using assistants like Siri, Alexa or Cortana.	0	1	0	0.9	0	1	0	1	1	0.9	0.7	1.55	0	1
112	University degrees provide better opportunities for professional realization in urban areas.	A college degree is advisable when looking for a job in a highly competitive market.	1	0.6	1	0.7	0	1	1	0.6	0	0.8	3.4	1.43	1	0.9
114	Good jobs can be easily found without educational degrees.	Modern technology facilitates our life styles.	0	1	0	0.9	0	1	1	0.7	0	0.8	0.2	0.6	0	1
116	Humans can never interact with computers.	Computers fail to communicate with children.	1	0.7	0	0.7	0	0.9	0	0.9	0	0.7	3.6	1.02	0	0.6
118	Good jobs can be easily found without educational degrees.	Good education helps to get a good job.	0	0.9	0	0.9	1	0.9	0	0.6	0	0.9	1.3	1.19	0	0.9
120	Latin in not used nowadays	Latin can't be learned.	0	1	1	0.6	0	0.9	0	0.6	0	0.9	1.6	1.36	0	0.9
122	If you know Latin, you can read the bible.	Some priests read the bible in Latin	0	0.7	1	0.8	0	1	1	0.6	0	0.8	2.7	1.42	0	0.7
124	Your educational level has an impact on your job opportunities.	Having a high level educational degree helps finding a good job.	1	1	1	1	0	1	0	0.8	1	0.6	4.2	0.6	1	0.9
126	In many countries, boys are more likely to get a good school education than girls.	Girls get education in other countries.	0	0.5	0	0.9	0	0.8	1	0.9	0	1	1.5	1.2	0	1
128	Today no one studies Latin.	Latin is not needed to read the Bible.	0	0.9	0	0.9	0	1	0	0.8	1	0.7	0.8	0.6	0	1
130	You don't have to know anything for technology to do any job.	Reading newspapers is important to find a new good job	0	0.9	0	0.9	0	0.9	0	0.6	1	0.7	1.6	1.43	0	0.9
132	Drinking does not influence driver safety.	A car driven by a human is safer than a self-driving car.	0	1	0	1	0	0.9	0	0.8	0	0.5	1	0.89	0	0.9
134	Social behavior is learned at school.	School is a place where children learn how to become sociable with other individuals.	1	1	1	0.9	0	1	0	1	1	0.9	4.7	0.46	1	1
136	Face-to-face social interaction is important to avoid any asocial behavior issues which could be caused by new technologies	Asocial behaviour is strengthened by new technologies.	0	0.5	0	0.6	0	1	1	0.9	0	1	3.3	1.55	1	0.8
138	Virtual assistants help us find what we need.	There are modern automatic assistants who now can give us quicker access to information.	1	0.6	1	0.7	0	1	0	0.7	1	1	4.5	0.5	1	1
140	Being able to communicate in more than one language has advantages.	Speaking more than one language can be useful.	1	1	1	1	0	1	1	0.6	0	1	4.8	0.4	1	1
142	Computers do not know how to play Go	It is easy for machines to come up with strategies in games.	0	1	0	1	0	0.6	1	0.6	0	0.6	1	1.18	0	1
144	High paying jobs do not require the use of modern technologies	One can find a good job without any knowledge of using modern technologies.	1	0.7	1	0.7	0	1	0	0.8	0	0.7	3.7	1.1	1	1
146	In many countries, boys are less likely to get a good school education.	Boys are more likely to get a good school education than girls.	0	1	0	1	1	0.7	0	0.6	0	1	1.8	1.6	0	0.9
148	Machines cannot interact with humans.	No machine can communicate with a person.	1	1	1	0.9	0	1	0	0.9	0	0.8	4.9	0.3	1	0.9
150	People are getting socialized by smartphones and social media platforms.	Lack of face to face social interactions may cause asocial behavior.	0	0.9	0	0.9	1	0.7	0	0.5	0	0.8	1.1	1.37	0	0.8
152	Speaking more than one language is imperative today.	There is more than one language.	1	0.7	0	0.9	0	1	1	1	0	1	1.7	1.42	0	0.9
154	The country has no impact on girls' school education.	Girls and boys chances in getting a good school education is not equal in many countries.	0	1	0	1	1	0.8	0	0.9	1	0.7	1.9	1.3	0	0.9
156	Children who go to school are more socialized.	Attending school enables children to learn how to interact with others.	1	0.8	1	0.7	0	0.9	0	1	1	0.9	4.1	0.94	1	1
158	Fast access to information makes everyday tasks easier	Not having a smartphone with a personal assistant will waste hours upon hours of human lives on information gathering.	0	0.8	0	0.5	0	1	0	0.9	1	1	1.9	1.14	1	0.8
160	Christian clergymen don't need to read the Bible.	Clergymen never read the bible	0	0.7	1	0.7	0	0.8	1	0.6	0	1	3.9	0.7	0	0.8
162	Chess and Go are strategic games.	Computers successfully play strategic games.	0	1	0	1	0	1	1	0.7	0	0.8	1.1	0.54	0	1
164	Modern education does not deal with technology at all.	Modern education has no use for technology.	1	0.6	1	0.6	0	1	1	0.7	0	0.9	4.1	0.54	1	0.8
166	Humans are more reliable than self-driving cars.	Driverless cars do not consume alcohol which in turn makes them much safer than normal drivers.	0	0.9	0	1	1	0.9	0	1	1	0.8	2	1.41	0	1
168	Good jobs require you to speak more than one language.	People speaking more than one language can find better jobs.	1	1	0	0.5	0	1	0	0.7	0	0.8	4.5	0.67	1	1
170	All Christian priests learn Arabic, in order to be able to read the Bible.	Today no one studies Latin.	0	1	0	0.8	0	1	1	0.7	0	1	0.3	0.46	0	1
172	Skills in using modern technologies are often included in the nowadays job descriptions.	Professional realization depends heavily on computer literacy.	1	0.6	1	0.7	0	1	1	0.6	0	0.6	3.1	1.58	0	0.6
174	Today's information flow is greatly facilitated by digital assistants.	Quicker access to information makes our life easier.	0	0.9	0	0.7	0	1	1	0.7	0	0.9	1.8	1.33	0	0.8
176	Learning more than one language takes a considerable amount of time and prevents you from doing other useful activities.	Finding a good job is not related with the languages spoken by the job seeker	0	1	0	1	0	1	1	0.8	0	1	1.2	1.08	0	1
178	Our everyday life is hard because of lacking information.	We can now access more information promptly by using assistants like Siri, Alexa or Cortana.	0	1	0	1	0	0.6	0	1	1	0.8	1.9	1.22	0	1
180	Car incidents decrease when using autonomous cars.	Human drinking in general makes the driving dangerous.	0	0.9	0	0.8	0	1	0	0.6	0	0.7	1.9	1.3	0	0.8
182	People never drink.	The biggest innovation in autonomous vehicle safety was the invention of a drunk driving mode, simulating the behavior of drunk human drivers.	0	1	0	1	0	0.5	0	1	1	0.9	0.6	0.66	0	1
184	People who cannot use modern technologies find good jobs.	All good jobs require the use of modern technologies.	0	1	0	0.8	1	1	0	0.7	0	0.9	1.56	1.34	0	0.9
186	The Bible was originally written in Latin.	Christian clergymen read the Bible.	0	0.9	0	1	0	1	0	0.6	0	1	1.2	0.87	0	1
188	Christian clergymen learn Latin only to communicate with each other.	There is a bible.	0	1	0	1	0	1	1	0.9	0	0.9	0.1	0.3	0	1
190	There is a bible.	Bible is in Latin.	0	0.8	1	0.7	0	1	0	1	1	0.7	1.7	0.9	0	1
192	Modern technologies are used for job-hunting.	You can't find a good job, if you can't use modern technologies.	0	0.7	1	0.6	0	1	0	1	1	0.6	3.9	1.22	0	0.6
194	Speaking different languages does not qualify for jobs.	Knowing more languages is prohibitive when looking for a job.	0	0.7	0	0.5	0	0.9	0	0.8	1	0.7	3.1	1.3	0	0.7
196	New technologies lead to less communication and human interactions.	When we use new technologies we forget some of the skills, which we previously learned from interacting with people.	0	0.7	0	0.5	0	1	0	0.9	1	1	3.11	1.66	1	0.7
198	You cannot find a good job if you do not know how to use modern technologies.	Knowing how to use modern technologies is essential for finding a good job.	1	0.8	1	0.8	0	0.9	0	0.8	0	0.6	4.6	0.49	1	1
200	Modern education covers technology.	Technology is a part of modern education.	1	1	1	1	0	1	0	0.9	0	0.6	4.2	0.98	1	0.9
202	Lack of social interaction leads to asocial behavior.	Women are always better educated than men.	0	1	0	1	0	1	0	0.8	0	0.7	0.4	0.92	0	1
204	Girls are educated as well as boys.	Today, girls have better access to education than ever before.	0	0.7	0	0.6	0	1	0	0.9	1	0.8	3.1	0.83	0	0.8
206	Games can be played by machines.	Machines are good at many tasks including playing strategic games	1	0.7	1	0.9	0	1	0	0.9	1	0.9	3.6	1.2	1	0.9
208	Technology is central to modern education.	Computers are important for education	1	0.7	1	0.7	0	1	0	0.6	0	0.8	3.5	1.43	1	0.9
210	Machines cannot play strategic games.	There are computer programs developed to play strategic games.	0	1	0	1	1	0.8	0	0.9	1	0.6	0.56	0.68	0	1
212	Big cities are less competitive than other places.	A high educational degree doesn't find you a good job.	0	1	0	1	0	1	0	0.9	0	0.5	0.2	0.4	0	1
214	Kids interact in schools with other kids.	Kids who do not go to school risk not to develop social skills.	0	0.5	0	0.7	0	0.9	0	0.9	1	0.6	2.73	0.96	0	0.7
216	Technology is a requirement for some jobs.	People who are able to deal with modern technology have more chances of getting a well-paid job than others.	0	0.5	1	0.7	0	1	0	0.9	1	0.7	3.5	1.12	0	0.6
218	Pupils do not need to learn about technology in order to receive a good education.	Education does not benefit from new technology.	0	0.7	1	0.6	0	1	1	0.9	0	1	3.9	1.58	0	0.5
220	No machine can communicate with a person.	When humans try to communicate with machines, they are often misunderstood.	0	0.6	0	0.9	0	0.6	0	0.9	1	0.9	3.2	1.08	0	0.9
222	People using new technologies interact less face-to-face.	Ubiquitous virtual reality will further increase people's asocial tendencies.	1	0.7	0	0.6	0	1	0	0.9	1	0.6	2.9	1.76	1	0.6
224	Acquiring new languages has a variety of advantages.	Bilingual people are more successful than monolingual people.	1	0.7	1	0.7	0	1	0	0.9	1	0.9	3.4	0.92	1	0.7
226	Modern education relies heavily on technology.	Modern assistances provide fast access to information therefore providing an easier life	0	0.9	0	0.9	0	1	0	1	1	0.8	2.3	1.49	0	0.8
228	Languages are very useful.	Acquiring new languages has a variety of advantages.	1	0.9	1	0.8	0	1	0	1	1	0.8	4.1	1.04	1	0.9
230	You can't benefit from speaking a second language.	Learning languages is useless.	1	0.85	1	1	0	0.9	1	0.65	0	1	4.45	0.67	1	0.8
231	Learning languages is useless.	You can't benefit from speaking a second language.	1	1	1	0.85	0	0.9	0	1	1	0.65	4.45	0.67	1	0.8
232	Machines are good in communicating.	There are machines that are able to communicate with people.	1	0.7	1	0.6	0	1	0	1	1	0.9	4	0.63	1	0.8
234	Asocial behavior is completely unrelated to using modern technologies.	In the past, people talked more to each other and were nicer to each other.	0	1	0	1	0	1	0	0.6	0	0.5	1	1.28	0	1
236	New technologies make people more miserable.	With the advancement of technology, people are able to find information more easily.	0	1	0	0.9	0	0.7	0	1	1	0.6	0.9	1.45	0	1
238	Clergymen learn a dead language to read the bible.	Latin is one way of reading the bible	0	0.7	0	0.7	0	1	1	0.7	0	0.7	2.1	1.22	0	0.6
240	Knowing more languages is beneficial when looking for a job	People who speak several languages are hired more easily	1	0.8	1	1	0	1	0	0.9	0	0.6	4.64	0.48	1	1
242	Everyday life is made easier because information is easily accessible.	I use Alexa every day because it helps me with my house work.	0	0.8	0	0.6	0	1	0	0.8	1	0.8	1.8	1.25	0	0.8
244	The original Bible is in Latin.	Christians read the bible.	0	1	0	1	0	1	0	0.7	0	1	1.8	1.17	0	1
246	Modern technologies facilitate finding good jobs	Knowing how to use the new technical opportunities is important when you want to find the job you like.	0	0.6	1	0.9	0	1	0	0.8	1	1	4.2	0.6	1	0.7
248	Go and chess are the only examples of card games, which are not strategic.	Machines can play chess.	0	0.9	0	1	0	1	1	0.6	0	0.9	0.9	0.94	0	1
250	Daily life is easier in foreign countries if you had a multilingual education.	The advantages of two spoken languages are great.	1	0.6	0	0.6	0	1	1	1	0	1	3.2	0.98	0	0.6
252	Technology is not mandatory to improve education	Technology is useful in teaching and educating.	0	0.8	0	0.8	0	0.7	0	1	0	0.6	1.7	1.62	0	0.9
254	University diplomas are unnecessary for good professional realization.	You can't find a good job in a big city without a high educational degree.	0	1	0	1	1	0.9	0	0.6	0	0.8	1	0.89	0	0.8
256	Life can be greatly improved by speaking foreign languages.	More languages you know ' better it is.	1	1	1	0.8	0	1	1	0.7	0	0.9	4.1	0.7	1	0.9
258	You don't have to know anything for technology to do any job.	It is necessary to use computers to find a job.	0	0.9	0	1	1	0.8	0	0.8	0	0.8	1.2	0.87	0	1
260	Many girls worldwide are provided with only basic schooling	In many countries, boys are more likely to get a good school education than girls.	1	0.6	1	0.6	0	1	0	0.9	1	0.9	2.7	1.1	1	0.6
262	Machines can perform well in communication.	Humans understand computers easily	0	0.9	1	0.6	0	1	1	0.6	0	0.9	2.2	1.08	0	0.9
264	Jobs in big cities request statistically higher degrees than in rural cities.	People won't find any work in metropolitan areas.	0	1	0	0.8	0	0.8	1	1	0	1	1.1	1.3	0	0.9
266	To find a good job, it is beneficial to speak a second language.	Good jobs may require more than one language.	1	0.8	1	1	0	1	1	0.8	0	0.9	4.7	0.46	1	1
268	Technology and digitalization have become an indispensable part of our modern culture.	Siri takes too long to answer a question.	0	1	0	1	0	1	0	0.5	0	0.9	0.2	0.4	0	1
270	Some one who speaks more than one language has a hard time finding a job because of it.	The knowledge of more languages raises your hirability.	0	1	0	0.8	1	0.9	1	0.6	0	0.9	1.2	1.25	0	0.9
272	Chess and Go are strategic games.	Computers are good at Stratego.	0	0.95	0	1	0	1	1	0.75	0	0.9	1	1.18	0	1
273	Computers are good at Stratego.	Chess and Go are strategic games.	0	1	0	0.95	0	1	0	0.9	1	0.75	1	1.18	0	1
274	Chess and go are city-building games.	Machines are good at devising strategies.	0	1	0	1	0	1	0	0.7	0	0.9	0.4	0.92	0	1
276	Some children know Latin.	The bible is in Latin.	0	1	0	0.9	0	1	0	0.9	1	0.6	0.9	0.7	0	1
278	All Christian priests need to study Persian, as the Bible is written in Ancient Greek.	Many Christians read a Latin bible.	0	1	0	1	0	0.7	1	0.9	0	1	1.4	1.02	0	1
280	Children's social skills improve when attending school.	Kids who go to school get more social by interacting with their colleagues	1	0.8	1	0.9	0	1	0	1	1	1	4.4	0.66	1	0.9
282	Use of new technologies leads to less face-to-face social interactions.	People using new technologies interact less face-to-face.	1	1	1	0.9	0	1	0	0.5	0	0.8	4.5	0.67	1	0.9
284	Boys are lucky to get good education.	Compared to boys, girls have a lower chance of getting a good school education in many countries.	0	0.5	0	0.9	0	0.8	0	1	1	0.9	2.56	1.26	0	0.7
286	Computers successfully play strategic games.	It is difficult to beat a machine on a strategic game.	1	0.7	1	1	0	1	0	0.5	0	0.5	3.9	0.94	0	0.5
288	Some pastors speak multiple languages.	If you want to understand the Bible properly, you need to learn Latin.	0	0.9	0	0.6	0	1	0	1	1	0.8	1.4	1.28	0	1
290	Getting better job opportunities is based on speaking foreign languages.	It is harder to find a good job if you only speak one language.	1	0.7	1	0.7	0	1	0	0.5	0	0.6	3.9	0.7	1	0.9
292	Boys and girls get equally good school educations.	Girls have better educational opportunities everywhere.	0	0.9	0	1	1	0.8	0	0.5	0	0.9	1.8	1.4	0	1
294	You can find a good job if you only speak one language.	People who speak more than one language could only land pretty bad jobs.	0	0.6	1	0.6	0	0.8	0	0.8	0	0.6	2.3	1.68	0	0.7
296	Girls get education in other countries.	Christian clergymen read the bible in English	0	1	0	1	0	1	0	0.9	1	0.6	0	0	0	1
298	Male Christian clerics have to learn Latin in order to understand the Bible.	Some pastors speak multiple languages.	1	0.7	0	0.8	0	1	1	0.9	0	1	2.4	1.02	0	0.9
300	Your educational level has an impact on your job opportunities.	Adding technology has improved modern education.	0	0.9	0	0.7	0	1	0	0.5	0	0.9	1	0.89	0	1
302	Cortana, Alexa and Siri are famous and known by everybody, because they are names of famous people.	Alexa and Cortana are means of fast access to information.	0	0.9	0	0.9	0	1	1	0.7	0	0.6	1.7	1.1	0	1
304	Digitalization improves social behavior by better chances for face-to-face communication.	Lack of social interaction leads to asocial behavior.	0	1	0	0.8	0	0.9	1	0.9	0	1	1.9	1.45	0	0.9
306	Some strategic games can be played against a computer.	Chess and Go are strategic games.	0	0.95	0	1	0	1	0	0.7	1	0.65	2.1	1.26	0	0.9
307	Chess and Go are strategic games.	Some strategic games can be played against a computer.	0	1	0	0.95	0	1	1	0.65	0	0.7	2.1	1.26	0	0.9
308	Self-driving cars don't drink.	Self-driving cars don't consume alcohol, therefore they are more reliable than human drivers.	0	0.5	1	1	0	1	0	1	1	1	3.7	1.1	1	0.8
310	Modern educations has many important components.	Studying technology is a main part of education nowadays.	0	0.6	0	0.9	0	1	0	1	1	0.7	2.1	1.04	0	0.8
312	Modern technological virtual assistants are created in order to create difficulties when you are trying to find answers to your questions.	Modern assistances provide fast access to information therefore providing an easier life	0	0.8	0	0.8	1	0.7	1	0.8	0	1	2.3	1.35	0	1
314	High education is not important in big cities.	Larger cities attract people with only minimal education.	0	0.8	0	0.5	0	1	0	1	1	0.7	2.7	1.42	1	0.7
316	The positive side of Alexa is that it gives faster access to information.	Today's information flow is greatly facilitated by digital assistants.	1	0.6	1	0.6	0	1	1	0.6	0	0.9	3.6	1.28	1	0.7
318	Girls have better educational opportunities everywhere.	Women receive equal education quality to men around the world.	0	0.7	0	0.9	1	0.6	0	1	1	0.6	2.8	1.08	0	1
320	Big cities are less competitive than other places.	A college degree is advisable when looking for a job in a highly competitive market.	0	0.9	0	1	0	1	0	1	1	0.7	1.1	0.94	0	1
322	Children who go to school are less socialized.	If you want your kid to be socialized, don't send him to school!	1	0.6	1	0.8	0	0.9	0	0.6	1	0.6	3.91	1.44	1	0.8
324	People learning a second language benefit from that ability	One can learn a second language.	1	0.7	0	0.9	0	1	1	1	0	1	2.6	1.11	0	0.9
326	Good work can be found no matter the applicants' education	Big cities are less competitive than other places.	0	1	0	0.95	0	1	0	0.5	0	0.75	0.2	0.51	0	1
327	Big cities are less competitive than other places.	Good work can be found no matter the applicants' education	0	0.95	0	1	0	1	0	0.75	0	0.5	0.2	0.51	0	1
328	Children benefit from hanging around each other	Kids interact in schools with other kids.	0	0.7	0	0.6	0	1	1	0.6	0	0.6	3.1	1.04	0	0.7
330	You can't benefit from speaking a second language.	It is possible to speak more than one language.	0	0.7	0	1	0	0.9	0	0.5	0	0.7	1.5	0.92	0	1
332	An example of what machines can facilitate is communicating people together	Machines can successfully communicate with humans.	1	0.6	0	0.5	0	1	0	0.5	0	0.7	3.3	1.55	0	0.5
334	Girls receive more attention in their studies.	Boys and girls are equally educated.	0	1	0	1	1	0.9	0	0.5	0	0.7	0.9	0.94	0	0.9
336	Boys are less educated than girls.	A girl's school education depends on the country she grows up in.	0	0.9	0	1	0	1	0	0.9	1	0.9	1	0.89	0	1
338	Many girls worldwide are provided with only basic schooling	Larger cities attract people with only minimal education.	0	0.9	0	1	0	1	0	0.7	0	0.9	0.6	1.02	0	1
340	The absence of face-to-face social interaction promotes asocial behavior.	Face-to-face social interaction is important to avoid any asocial behavior issues which could be caused by new technologies	1	0.6	1	0.8	0	1	0	0.9	1	0.9	4	1	1	0.9
342	A college degree is advisable when looking for a job in a highly competitive market.	In big cities, good jobs tend to be given to people with high educational degrees.	1	0.7	1	0.7	0	1	1	0.7	0	0.7	3.9	1.22	1	0.9
344	The importance of technology in modern education is overrated.	Technology is not mandatory to improve education	1	0.8	0	0.6	0	1	0	0.5	0	1	2.8	1.47	1	0.6
346	There are computer programs developed to play strategic games.	To be good at a strategy game, you need to think like a machine.	0	0.8	0	0.8	0	1	0	0.7	0	0.6	1.9	1.51	0	0.9
348	Girls have a better education than boys in many countries	There are fewer girls in school than boys.	0	1	0	0.9	0	0.7	0	0.7	0	1	1.8	1.08	0	1
350	Machines can communicate with people.	Machines are good in communicating.	1	0.6	1	0.7	0	1	1	0.7	0	0.7	3.6	1.2	1	0.7
352	People's job prospects and their chances of getting a well-paid and interesting job in big cities depend on their educational achievements.	Asocial behavior develops with the use of technologies.	0	0.9	0	1	0	1	1	0.8	0	1	0.5	0.92	0	1
